chapter,stage,model,effort,wall_seconds,prompt_chars,response_chars,input_tokens,cached_read_tokens,output_tokens,thought_tokens,total_tokens
7,state,gpt-5.6-luna,low,26.582,6305,1319,7186,24320,1228,221,32734
8,director,gpt-5.6-luna,high,23.62,11022,708,10304,24320,1096,516,35720
8,curator,gpt-5.6-luna,high,100.84,20873,2332,30809,9984,5313,3624,46106
8,primary,gpt-5.6-terra,high,59.988,12691,2829,11856,25344,3104,670,40304
8,authority_reviser,gpt-5.6-luna,high,160.087,20058,2699,2242,46848,7767,5346,56857
8,state,gpt-5.6-luna,low,27.834,6048,1583,21310,9984,1300,73,32594
9,director,gpt-5.6-luna,high,35.889,11338,857,10589,24320,1781,1034,36690
9,curator,gpt-5.6-luna,high,188.186,21386,2900,13408,40704,9554,7244,63666
9,primary,gpt-5.6-terra,high,75.247,13347,2301,8867,37632,3337,1269,49836
9,authority_reviser,gpt-5.6-luna,high,128.058,20510,2316,1373,50944,5544,3332,57861
9,state,gpt-5.6-luna,low,30.119,5931,1601,21245,9984,1434,155,32663
10,director,gpt-5.6-luna,high,69.187,11316,829,5668,34560,2829,2070,43057
10,curator,gpt-5.6-luna,high,138.658,21519,2077,13635,39680,6815,5243,60130
10,primary,gpt-5.6-terra,high,49.281,11900,2290,30565,6912,2481,516,39958
10,authority_reviser,gpt-5.6-luna,high,191.335,19883,1991,2084,46848,9512,7751,58444
10,state,gpt-5.6-luna,low,24.98,5650,1399,20912,9984,1176,119,32072
11,director,gpt-5.6-luna,high,28.409,12752,963,11601,24320,1327,516,37248
11,curator,gpt-5.6-luna,high,156.832,22819,1899,3634,43776,7691,6214,55101
11,primary,gpt-5.6-terra,high,61.73,11588,3125,11799,25344,3118,516,40261
11,authority_reviser,gpt-5.6-luna,high,142.36,20527,2673,8297,40704,7001,4707,56002
11,state,gpt-5.6-luna,low,27.07,6118,1557,21260,9984,1302,100,32546
12,director,gpt-5.6-luna,high,53.497,12810,613,1516,40704,1003,444,43223
12,curator,gpt-5.6-luna,high,66.283,22509,1324,31982,9984,3456,2586,45422
12,primary,gpt-5.6-terra,high,40.345,11440,2037,11565,25344,2002,289,38911
12,authority_reviser,gpt-5.6-luna,high,127.172,18442,2021,6310,63232,1893,41,71435
12,state,gpt-5.6-luna,low,27.464,5615,1492,6515,24320,1272,161,32107
13,director,gpt-5.6-luna,high,21.015,12821,661,25052,9984,846,318,35882
13,curator,gpt-5.6-luna,high,66.154,22760,2257,32178,9984,3452,1946,45614
13,primary,gpt-5.6-terra,high,53.04,11639,3118,11596,25344,2682,51,39622
13,authority_reviser,gpt-5.6-luna,high,152.855,20672,2941,3671,47872,7392,4910,58935
13,state,gpt-5.6-luna,low,25.379,6482,1361,21575,9984,1158,153,32717
14,director,gpt-5.6-luna,high,23.977,12776,668,11590,24320,1083,516,36993
14,curator,gpt-5.6-luna,high,82.178,22922,1943,32331,9984,4339,3044,46654
14,primary,gpt-5.6-terra,high,71.508,12312,3943,24694,12032,3692,356,40418
14,authority_reviser,gpt-5.6-luna,high,210.84,21103,3662,8720,52992,3425,216,65137
14,state,gpt-5.6-luna,low,29.496,7073,1442,22121,9984,1224,131,33329
15,director,gpt-5.6-luna,high,24.031,12709,727,11508,24320,1112,516,36940
15,curator,gpt-5.6-luna,high,127.384,22742,2618,32156,9984,6862,4990,49002
15,primary,gpt-5.6-terra,high,75.802,13923,3969,26979,12032,3791,416,42802
15,authority_reviser,gpt-5.6-luna,high,141.213,21853,3872,958,64256,6642,3349,71856
15,state,gpt-5.6-luna,low,32.466,7350,1778,22349,9984,1570,160,33903
16,director,gpt-5.6-luna,high,56.546,12981,914,26146,9984,2897,2070,39027
16,curator,gpt-5.6-luna,high,97.95,22881,2285,32349,9984,5169,3562,47502
16,primary,gpt-5.6-terra,high,51.745,13654,2872,25926,12032,2642,101,40600
16,authority_reviser,gpt-5.6-luna,high,120.371,20657,2858,8392,41728,5803,3215,55923
16,state,gpt-5.6-luna,low,29.093,6673,1515,23029,9984,1337,140,34350
17,director,gpt-5.6-luna,high,23.559,12784,695,27182,9984,1093,516,38259
17,curator,gpt-5.6-luna,high,68.509,23098,2188,33705,9984,3582,2070,47271
17,primary,gpt-5.6-terra,high,45.976,12501,2524,32147,6912,2319,93,41378
17,authority_reviser,gpt-5.6-luna,high,143.927,19889,2451,3643,50944,6750,4451,61337
17,state,gpt-5.6-luna,low,30.877,6026,1732,21550,9984,1486,125,33020
18,director,gpt-5.6-luna,high,25.642,13056,757,27411,9984,1195,516,38590
18,curator,gpt-5.6-luna,high,90.539,23181,2580,33819,9984,4813,2968,48616
18,primary,gpt-5.6-terra,high,53.407,12695,2831,32284,6912,2743,290,41939
18,authority_reviser,gpt-5.6-luna,high,85.263,21088,2781,33330,9984,4476,2064,47790
18,state,gpt-5.6-luna,low,30.752,6562,1670,8545,24320,1485,136,34350
19,director,gpt-5.6-luna,high,25.705,13043,857,27411,9984,1215,516,38610
19,curator,gpt-5.6-luna,high,203.069,23413,2744,6864,56064,5275,3182,68203
19,primary,gpt-5.6-terra,high,54.064,13263,3060,32691,6912,2784,108,42387
19,authority_reviser,gpt-5.6-luna,high,103.511,21208,2943,19225,24320,5523,2940,49068
19,state,gpt-5.6-luna,low,26.452,6657,1444,22142,9984,1218,99,33344
20,director,gpt-5.6-luna,high,75.257,12964,788,27248,9984,3960,3302,41192
20,curator,gpt-5.6-luna,high,81.925,23182,1748,33673,9984,4337,3106,47994
20,primary,gpt-5.6-terra,high,61.099,12313,3489,32041,6912,3155,208,42108
20,authority_reviser,gpt-5.6-luna,high,164.206,20534,2799,5200,49920,4505,2070,59625
20,state,gpt-5.6-luna,low,28.012,6274,1597,22567,9984,1350,120,33901
